Train Number,Train Name,From Station,To Station
01345,BSR DIVA MEMU SPL,VASAI ROAD,DIVA
01346,ROHA DIVA MEMU SPL,ROHA,DIVA
01347,DIVA ROHA MEMU SPL,DIVA,ROHA
01348,ROHA DIVA MEMU SPL,ROHA,DIVA
01349,DIVA ROHA MEMU SPL,DIVA,ROHA
01351,DIVA ROHA MEMU SPL,DIVA,ROHA
01352,ROHA DIVA MEMU SPL,ROHA,DIVA
01353,DIVA PNVL MEMU SPL,DIVA,PANVEL
01354,PNVL DIVA MEMU SPL,PANVEL,DIVA
01355,DIVA PEN MEMU SPL,DIVA,PEN
01356,PEN DIVA MEMU SPL,PEN,DIVA
01357,BSR DIVA MEMU SPL,VASAI ROAD,DIVA
01358,DIVA BSR MEMU SPL,DIVA,VASAI ROAD
01359,DIVA PEN MEMU SPL,DIVA,PEN
01360,PEN DIVA MEMU SPL,PEN,DIVA
01361,DIVA PEN MEMU SPL,DIVA,PEN
01362,PEN DIVA MEMU SPL,PEN,DIVA
01365,BSL BD MEMU SPL,BHUSAVAL JN,BADNERA JN
01366,BD BSL MEMU SPL,BADNERA JN,BHUSAVAL JN
01371,AMI WR MEMU,AMRAVATI,WARDHA JN
01372,WR AMI MEMU,WARDHA JN,AMRAVATI
01376,AMI BD MEMU SPL,AMRAVATI,BADNERA JN
01377,BD AMI MEMU SPL,BADNERA JN,AMRAVATI
01378,AMI SD MEMU SPL,AMRAVATI,BADNERA JN
01381,SUR WADI DEMU SPL,SOLAPUR JN,WADI
01382,WADI SUR DEMU SPL,WADI,SOLAPUR JN
01401,ANG NAHT DEMU SPL,AHMADNAGAR,NEW ASHTI
01402,NAHT ANG DEMU SPL,NEW ASHTI,AHMADNAGAR
01403,ANG NAHT DEMU SPL,AHMADNAGAR,NEW ASHTI
01404,KARMALI PUNE SPL,NEW ASHTI,AHMADNAGAR
01413,NZB PVR DEMU SPL,NIZAMABAD,PANDHARPUR
01414,PVR NZB DEMU SPL,PANDHARPUR,NIZAMABAD
01461,SUR DD DMU SPL,SOLAPUR JN,DAUND JN
